File Name,Size,inode,Permission,User,Group,Access Time,Modify Time,Change Time
.,4096,529052,0757,root,root,2023-01-17 13:32:13.741025499,2020-10-29 19:38:51.017829000,2020-10-29 19:38:51.017829000
./phpmyadmin,4096,530875,0755,root,root,2020-10-29 19:33:22.981187000,2020-10-29 19:33:23.241057000,2020-10-29 19:33:23.241057000
./phpmyadmin/server_plugins.php,7212,530896,0644,root,root,2020-10-29 19:33:22.985184999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:22.985184999
./phpmyadmin/phpmyadmin.css.php,1102,530894,0644,root,root,2020-10-29 19:33:22.985184999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:22.985184999
./phpmyadmin/index.php,5709,530912,0644,root,root,2020-10-29 19:33:22.989182999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:22.989182999
./phpmyadmin/sql.php,38091,530920,0644,root,root,2020-10-29 19:33:22.989182999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:22.989182999
./phpmyadmin/tbl_addfield.php,8235,531844,0644,root,root,2020-10-29 19:33:23.105125000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.105125000
./phpmyadmin/Documentation.txt,180100,530892,0644,root,root,2020-10-29 19:33:22.985184999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:22.985184999
./phpmyadmin/favicon.ico,18902,530904,0644,root,root,2020-10-29 19:33:22.989182999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:22.989182999
./phpmyadmin/tbl_operations.php,32712,530916,0644,root,root,2020-10-29 19:33:22.989182999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:22.989182999
./phpmyadmin/tbl_gis_visualization.php,7498,531682,0644,root,root,2020-10-29 19:33:23.077139000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.077139000
./phpmyadmin/chk_rel.php,363,530886,0644,root,root,2020-10-29 19:33:22.985184999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:22.985184999
./phpmyadmin/server_export.php,2077,531865,0644,root,root,2020-10-29 19:33:23.205074999,2013-04-08 12:06:51.000000000,2020-10-29 19:33:23.205074999
./phpmyadmin/pmd_general.php,35528,530889,0644,root,root,2020-10-29 19:33:22.985184999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:22.985184999
./phpmyadmin/locale,4096,531845,0755,root,root,2020-10-29 19:33:23.105125000,2013-04-08 12:06:51.000000000,2020-10-29 19:33:23.205074999
./phpmyadmin/locale/ja,4096,659230,0755,root,root,2020-10-29 19:33:23.141106999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.145105000
./phpmyadmin/locale/ja/LC_MESSAGES,4096,659231,0755,root,root,2020-10-29 19:33:23.141106999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.145105000
./phpmyadmin/locale/ja/LC_MESSAGES/phpmyadmin.mo,325080,659232,0644,root,root,2020-10-29 19:33:23.141106999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.145105000
./phpmyadmin/locale/de,4096,659245,0755,root,root,2020-10-29 19:33:23.153100999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.157099000
./phpmyadmin/locale/de/LC_MESSAGES,4096,659246,0755,root,root,2020-10-29 19:33:23.153100999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.157099000
./phpmyadmin/locale/de/LC_MESSAGES/phpmyadmin.mo,295219,659247,0644,root,root,2020-10-29 19:33:23.153100999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.157099000
./phpmyadmin/locale/id,4096,659305,0755,root,root,2020-10-29 19:33:23.205074999,2013-04-08 12:06:51.000000000,2020-10-29 19:33:23.205074999
./phpmyadmin/locale/id/LC_MESSAGES,4096,659306,0755,root,root,2020-10-29 19:33:23.205074999,2013-04-08 12:06:51.000000000,2020-10-29 19:33:23.205074999
./phpmyadmin/locale/id/LC_MESSAGES/phpmyadmin.mo,173037,659307,0644,root,root,2020-10-29 19:33:23.205074999,2013-04-08 12:06:51.000000000,2020-10-29 19:33:23.205074999
./phpmyadmin/locale/bg,4096,659290,0755,root,root,2020-10-29 19:33:23.193080999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.193080999
./phpmyadmin/locale/bg/LC_MESSAGES,4096,659291,0755,root,root,2020-10-29 19:33:23.193080999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.193080999
./phpmyadmin/locale/bg/LC_MESSAGES/phpmyadmin.mo,224282,659292,0644,root,root,2020-10-29 19:33:23.193080999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.193080999
./phpmyadmin/locale/uk,4096,531852,0755,root,root,2020-10-29 19:33:23.109123000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.113121000
./phpmyadmin/locale/uk/LC_MESSAGES,4096,531853,0755,root,root,2020-10-29 19:33:23.109123000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.113121000
./phpmyadmin/locale/uk/LC_MESSAGES/phpmyadmin.mo,374766,531854,0644,root,root,2020-10-29 19:33:23.109123000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.113121000
./phpmyadmin/locale/it,4096,659242,0755,root,root,2020-10-29 19:33:23.153100999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.153100999
./phpmyadmin/locale/it/LC_MESSAGES,4096,659243,0755,root,root,2020-10-29 19:33:23.153100999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.153100999
./phpmyadmin/locale/it/LC_MESSAGES/phpmyadmin.mo,293436,659244,0644,root,root,2020-10-29 19:33:23.153100999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.153100999
./phpmyadmin/locale/tr,4096,531858,0755,root,root,2020-10-29 19:33:23.117118999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.117118999
./phpmyadmin/locale/tr/LC_MESSAGES,4096,531859,0755,root,root,2020-10-29 19:33:23.117118999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.117118999
./phpmyadmin/locale/tr/LC_MESSAGES/phpmyadmin.mo,292990,531860,0644,root,root,2020-10-29 19:33:23.117118999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.117118999
./phpmyadmin/locale/uz,4096,531855,0755,root,root,2020-10-29 19:33:23.113121000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.117118999
./phpmyadmin/locale/uz/LC_MESSAGES,4096,531856,0755,root,root,2020-10-29 19:33:23.113121000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.117118999
./phpmyadmin/locale/uz/LC_MESSAGES/phpmyadmin.mo,193970,531857,0644,root,root,2020-10-29 19:33:23.113121000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.117118999
./phpmyadmin/locale/ca,4096,659281,0755,root,root,2020-10-29 19:33:23.185085000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.185085000
./phpmyadmin/locale/ca/LC_MESSAGES,4096,659282,0755,root,root,2020-10-29 19:33:23.185085000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.185085000
./phpmyadmin/locale/ca/LC_MESSAGES/phpmyadmin.mo,292072,659283,0644,root,root,2020-10-29 19:33:23.185085000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.185085000
./phpmyadmin/locale/fr,4096,659296,0755,root,root,2020-10-29 19:33:23.197079000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.197079000
./phpmyadmin/locale/fr/LC_MESSAGES,4096,659297,0755,root,root,2020-10-29 19:33:23.197079000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.197079000
./phpmyadmin/locale/fr/LC_MESSAGES/phpmyadmin.mo,297001,659298,0644,root,root,2020-10-29 19:33:23.197079000,2013-04-08 12:06:51.000000000,2020-10-29 19:33:23.197079000
./phpmyadmin/locale/zh_CN,4096,659218,0755,root,root,2020-10-29 19:33:23.133111000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.133111000
./phpmyadmin/locale/zh_CN/LC_MESSAGES,4096,659219,0755,root,root,2020-10-29 19:33:23.133111000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.133111000
./phpmyadmin/locale/zh_CN/LC_MESSAGES/phpmyadmin.mo,257683,659220,0644,root,root,2020-10-29 19:33:23.133111000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.133111000
./phpmyadmin/locale/hi,4096,659269,0755,root,root,2020-10-29 19:33:23.173091000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.177088999
./phpmyadmin/locale/hi/LC_MESSAGES,4096,659270,0755,root,root,2020-10-29 19:33:23.173091000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.177088999
./phpmyadmin/locale/hi/LC_MESSAGES/phpmyadmin.mo,184650,659271,0644,root,root,2020-10-29 19:33:23.173091000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.177088999
./phpmyadmin/locale/en_GB,4096,659266,0755,root,root,2020-10-29 19:33:23.173091000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.173091000
./phpmyadmin/locale/en_GB/LC_MESSAGES,4096,659267,0755,root,root,2020-10-29 19:33:23.173091000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.173091000
./phpmyadmin/locale/en_GB/LC_MESSAGES/phpmyadmin.mo,273301,659268,0644,root,root,2020-10-29 19:33:23.173091000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.173091000
./phpmyadmin/locale/cs,4096,659233,0755,root,root,2020-10-29 19:33:23.145105000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.149102999
./phpmyadmin/locale/cs/LC_MESSAGES,4096,659234,0755,root,root,2020-10-29 19:33:23.145105000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.149102999
./phpmyadmin/locale/cs/LC_MESSAGES/phpmyadmin.mo,287356,659235,0644,root,root,2020-10-29 19:33:23.145105000,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.149102999
./phpmyadmin/locale/pt_BR,4096,659287,0755,root,root,2020-10-29 19:33:23.189082999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.193080999
./phpmyadmin/locale/pt_BR/LC_MESSAGES,4096,659288,0755,root,root,2020-10-29 19:33:23.189082999,2013-04-08 12:06:50.000000000,2020-10-29 19:33:23.193080999
